"","i1","i2","i3","i4","value"
"33601","DK000000","CAMR","FCER","Y",37.2664832446853
"33611","DK000000","CAMR","FPRO","Y",39.8381224681367
"33621","DK000000","CAMR","FENE","Y",10.3029458651006
"33631","DK000000","CAMR","FMIL","Y",0.983138962767931
"33641","DK000000","CAMR","FOTH","Y",16.3935801241943
"34611","DK000000","CAFR","FGRA","Y",2496.96040047414
"34621","DK000000","CAFR","FMAI","Y",31.4465496220588
"34631","DK000000","CAFR","FOFA","Y",2694.82540810526
"34641","DK000000","CAFR","FROO","Y",8.00457626743327
"34651","DK000000","CAFR","FCOM","Y",73.3752824514647
"34661","DK000000","CAFR","FSTR","Y",144.804148649458
"34671","DK000000","CAFR","FCER","Y",35.6275826288003
"34681","DK000000","CAFR","FPRO","Y",31.397227340618
"34691","DK000000","CAFR","FENE","Y",9.84984423453281
"34701","DK000000","CAFR","FMIL","Y",0.939902603678189
"3471","DK000000","CAFR","FOTH","Y",15.6726253620927
"35681","DK000000","PIGF","FMAI","Y",106.679890488626
"35691","DK000000","PIGF","FCER","Y",136.064050230042
"35701","DK000000","PIGF","FPRO","Y",46.2257144216651
"35711","DK000000","PIGF","FENE","Y",5.36097584655977
"35721","DK000000","PIGF","FMIL","Y",0.840804654742036
"3573","DK000000","PIGF","FOTH","Y",1.8930963390308
"36731","DK000000","SOWS","FMAI","Y",880.548227234832
"36741","DK000000","SOWS","FCER","Y",1042.04596216508
"3675","DK000000","SOWS","FPRO","Y",477.520309550342
"3676","DK000000","SOWS","FENE","Y",10.1294539693538
"3677","DK000000","SOWS","FMIL","Y",0.920556028041224
"3678","DK000000","SOWS","FOTH","Y",15.3500263706529
"37781","DK000000","SHGM","FGRA","Y",22.4079545454406
"37791","DK000000","SHGM","FMAI","Y",17.6062500000019
"37801","DK000000","SHGM","FOFA","Y",13.7318941504203
"3781","DK000000","SHGM","FROO","Y",4.48159090909247
"3782","DK000000","SHGM","FSTR","Y",331.307895435748
"3783","DK000000","SHGM","FCER","Y",5.54086691188973
"3784","DK000000","SHGM","FPRO","Y",101.93380287094
"3785","DK000000","SHGM","FENE","Y",5.51471694473588
"3786","DK000000","SHGM","FMIL","Y",0.526231348586537
